State	State Code	Year	Race	Gender	Age Group	Population
Alabama	01	1980	Black	Male	85+ years	2786
Alabama	01	1980	Other	Female	< 1 year	163
Alabama	01	1980	Other	Female	1-4 years	668
Alabama	01	1980	Other	Female	25-34 years	2292
Alabama	01	1980	Other	Female	35-44 years	1359
Alabama	01	1980	Other	Female	45-54 years	967
Alabama	01	1980	Other	Female	55-64 years	472
Alabama	01	1980	Other	Female	75-84 years	176
Alabama	01	1980	Other	Male	< 1 year	196
Alabama	01	1980	Other	Male	10-14 years	803
Alabama	01	1980	Other	Male	55-64 years	364
Alabama	01	1980	Other	Male	65-74 years	225
Alabama	01	1980	Other	Male	75-84 years	80
Alabama	01	1980	Other	Male	85+ years	20
Alabama	01	1980	White	Female	< 1 year	19741
Alabama	01	1980	White	Female	1-4 years	77002
Alabama	01	1980	White	Female	5-9 years	103435
Alabama	01	1980	White	Female	10-14 years	109030
Alabama	01	1980	White	Female	15-19 years	127207
Alabama	01	1980	White	Female	20-24 years	128826
Alabama	01	1980	White	Female	25-34 years	227200
Alabama	01	1980	White	Female	35-44 years	174644
Alabama	01	1980	White	Female	45-54 years	159102
Alabama	01	1980	White	Female	55-64 years	152159
Alabama	01	1980	White	Female	65-74 years	121380
Alabama	01	1980	White	Female	75-84 years	61487
Alabama	01	1980	White	Female	85+ years	18069
Alabama	01	1980	White	Male	< 1 year	21044
Alabama	01	1980	White	Male	1-4 years	80280
Alabama	01	1980	White	Male	5-9 years	109187
Alabama	01	1980	White	Male	10-14 years	116010
Alabama	01	1980	White	Male	15-19 years	132980
Alabama	01	1980	White	Male	20-24 years	130798
Alabama	01	1980	White	Male	25-34 years	226516
Alabama	01	1980	White	Male	35-44 years	169612
Alabama	01	1980	White	Male	45-54 years	150170
Alabama	01	1980	White	Male	55-64 years	132213
Alabama	01	1980	White	Male	65-74 years	90086
Alabama	01	1980	White	Male	75-84 years	34891
Alabama	01	1980	White	Male	85+ years	7173
Alabama	01	1981	Black	Female	< 1 year	10711
Alabama	01	1981	Black	Female	1-4 years	39253
Alabama	01	1981	Black	Female	5-9 years	47732
Alabama	01	1981	Black	Female	10-14 years	50305
Alabama	01	1981	Black	Female	15-19 years	57375
Alabama	01	1981	Black	Female	20-24 years	54401
Alabama	01	1981	Black	Female	25-34 years	79462
Alabama	01	1981	Black	Female	35-44 years	47847
Alabama	01	1981	Black	Female	45-54 years	44757
Alabama	01	1981	Black	Female	55-64 years	42180
Alabama	01	1981	Black	Female	65-74 years	38274
Alabama	01	1981	Black	Female	75-84 years	19471
Alabama	01	1981	Black	Female	85+ years	6142
Alabama	01	1981	Black	Male	< 1 year	10694
Alabama	01	1981	Black	Male	1-4 years	39540
Alabama	01	1981	Black	Male	5-9 years	48920
Alabama	01	1981	Black	Male	10-14 years	51016
Alabama	01	1981	Black	Male	15-19 years	55903
Alabama	01	1981	Black	Male	20-24 years	46369
Alabama	01	1981	Black	Male	25-34 years	68131
Alabama	01	1981	Black	Male	35-44 years	37879
Alabama	01	1981	Black	Male	45-54 years	33042
Alabama	01	1981	Black	Male	55-64 years	31415
Alabama	01	1981	Black	Male	65-74 years	27299
Alabama	01	1981	Black	Male	75-84 years	12542
Alabama	01	1981	Black	Male	85+ years	2908
Alabama	01	1981	Other	Female	< 1 year	162
Alabama	01	1981	Other	Female	10-14 years	932
Alabama	01	1981	Other	Female	25-34 years	2564
Alabama	01	1981	Other	Female	45-54 years	1079
Alabama	01	1981	Other	Female	75-84 years	187
Alabama	01	1981	Other	Female	85+ years	41
Alabama	01	1981	Other	Male	< 1 year	184
Alabama	01	1981	Other	Male	20-24 years	1017
Alabama	01	1981	Other	Male	25-34 years	1992
Alabama	01	1981	Other	Male	35-44 years	1345
Alabama	01	1981	Other	Male	55-64 years	425
Alabama	01	1981	Other	Male	65-74 years	247
Alabama	01	1981	White	Female	< 1 year	19479
Alabama	01	1981	White	Female	1-4 years	78064
Alabama	01	1981	White	Female	5-9 years	97829
Alabama	01	1981	White	Female	10-14 years	109005
Alabama	01	1981	White	Female	15-19 years	122511
Alabama	01	1981	White	Female	20-24 years	131574
Alabama	01	1981	White	Female	25-34 years	234116
Alabama	01	1981	White	Female	35-44 years	176159
Alabama	01	1981	White	Female	45-54 years	157883
Alabama	01	1981	White	Female	55-64 years	154066
Alabama	01	1981	White	Female	65-74 years	123146
Alabama	01	1981	White	Female	75-84 years	65038
Alabama	01	1981	White	Female	85+ years	19086
Alabama	01	1981	White	Male	< 1 year	20324
Alabama	01	1981	White	Male	1-4 years	81601
Alabama	01	1981	White	Male	5-9 years	103430
Alabama	01	1981	White	Male	10-14 years	115850
Alabama	01	1981	White	Male	15-19 years	127864
Alabama	01	1981	White	Male	20-24 years	133749
Alabama	01	1981	White	Male	25-34 years	234396
Alabama	01	1981	White	Male	35-44 years	171429
Alabama	01	1981	White	Male	45-54 years	149573
Alabama	01	1981	White	Male	55-64 years	134083
Alabama	01	1981	White	Male	65-74 years	91487
Alabama	01	1981	White	Male	75-84 years	36570
Alabama	01	1981	White	Male	85+ years	7423
Alabama	01	1982	Black	Female	< 1 year	10316
Alabama	01	1982	Black	Female	1-4 years	38745
Alabama	01	1982	Black	Female	5-9 years	46951
Alabama	01	1982	Black	Female	10-14 years	50340
Alabama	01	1982	Black	Female	15-19 years	55642
Alabama	01	1982	Black	Female	20-24 years	54184
Alabama	01	1982	Black	Female	25-34 years	81440
Alabama	01	1982	Black	Female	35-44 years	50001
Alabama	01	1982	Black	Female	45-54 years	44317
Alabama	01	1982	Black	Female	55-64 years	42124
Alabama	01	1982	Black	Female	65-74 years	38123
Alabama	01	1982	Black	Female	75-84 years	20040
Alabama	01	1982	Black	Female	85+ years	6349
Alabama	01	1982	Black	Male	< 1 year	10667
Alabama	01	1982	Black	Male	1-4 years	39080
Alabama	01	1982	Black	Male	5-9 years	48116
Alabama	01	1982	Black	Male	10-14 years	51129
Alabama	01	1982	Black	Male	15-19 years	54192
Alabama	01	1982	Black	Male	20-24 years	46187
Alabama	01	1982	Black	Male	25-34 years	69340
Alabama	01	1982	Black	Male	35-44 years	39778
Alabama	01	1982	Black	Male	45-54 years	32924
Alabama	01	1982	Black	Male	55-64 years	31192
Alabama	01	1982	Black	Male	65-74 years	26800
Alabama	01	1982	Black	Male	75-84 years	12794
Alabama	01	1982	Black	Male	85+ years	2988
Alabama	01	1982	Other	Female	10-14 years	1059
Alabama	01	1982	Other	Female	25-34 years	2716
Alabama	01	1982	Other	Female	45-54 years	1164
Alabama	01	1982	Other	Female	55-64 years	632
Alabama	01	1982	Other	Female	75-84 years	188
Alabama	01	1982	Other	Female	85+ years	42
Alabama	01	1982	Other	Male	5-9 years	1024
Alabama	01	1982	Other	Male	25-34 years	2160
Alabama	01	1982	Other	Male	35-44 years	1481
Alabama	01	1982	Other	Male	45-54 years	840
Alabama	01	1982	Other	Male	55-64 years	466
Alabama	01	1982	Other	Male	65-74 years	263
Alabama	01	1982	Other	Male	75-84 years	94
Alabama	01	1982	White	Female	< 1 year	18751
Alabama	01	1982	White	Female	1-4 years	77752
Alabama	01	1982	White	Female	5-9 years	95075
Alabama	01	1982	White	Female	10-14 years	107754
Alabama	01	1982	White	Female	15-19 years	117829
Alabama	01	1982	White	Female	20-24 years	131796
Alabama	01	1982	White	Female	25-34 years	232738
Alabama	01	1982	White	Female	35-44 years	184578
Alabama	01	1982	White	Female	45-54 years	156432
Alabama	01	1982	White	Female	55-64 years	155284
Alabama	01	1982	White	Female	65-74 years	124854
Alabama	01	1982	White	Female	75-84 years	67797
Alabama	01	1982	White	Female	85+ years	19902
Alabama	01	1982	White	Male	< 1 year	20254
Alabama	01	1982	White	Male	1-4 years	81416
Alabama	01	1982	White	Male	5-9 years	100666
Alabama	01	1982	White	Male	10-14 years	114464
Alabama	01	1982	White	Male	15-19 years	122865
Alabama	01	1982	White	Male	20-24 years	133638
Alabama	01	1982	White	Male	25-34 years	233589
Alabama	01	1982	White	Male	35-44 years	179819
Alabama	01	1982	White	Male	45-54 years	148624
Alabama	01	1982	White	Male	55-64 years	135392
Alabama	01	1982	White	Male	65-74 years	92679
Alabama	01	1982	White	Male	75-84 years	38052
Alabama	01	1982	White	Male	85+ years	7571
Alabama	01	1983	Black	Female	< 1 year	9913
Alabama	01	1983	Black	Female	1-4 years	38179
Alabama	01	1983	Black	Female	5-9 years	46518
Alabama	01	1983	Black	Female	10-14 years	50368
Alabama	01	1983	Black	Female	15-19 years	53939
Alabama	01	1983	Black	Female	20-24 years	53682
Alabama	01	1983	Black	Female	25-34 years	83034
Alabama	01	1983	Black	Female	35-44 years	52041
Alabama	01	1983	Black	Female	45-54 years	43960
Alabama	01	1983	Black	Female	55-64 years	42156
Alabama	01	1983	Black	Female	65-74 years	37642
Alabama	01	1983	Black	Female	75-84 years	20500
Alabama	01	1983	Black	Female	85+ years	6549
Alabama	01	1983	Black	Male	< 1 year	10289
Alabama	01	1983	Black	Male	1-4 years	38615
Alabama	01	1983	Black	Male	5-9 years	47641
Alabama	01	1983	Black	Male	10-14 years	51192
Alabama	01	1983	Black	Male	15-19 years	52625
Alabama	01	1983	Black	Male	20-24 years	46084
Alabama	01	1983	Black	Male	25-34 years	70437
Alabama	01	1983	Black	Male	35-44 years	41712
Alabama	01	1983	Black	Male	45-54 years	32926
Alabama	01	1983	Black	Male	55-64 years	31048
Alabama	01	1983	Black	Male	65-74 years	26215
Alabama	01	1983	Black	Male	75-84 years	12994
Alabama	01	1983	Black	Male	85+ years	3102
Alabama	01	1983	Other	Female	< 1 year	154
Alabama	01	1983	Other	Female	35-44 years	2040
Alabama	01	1983	Other	Female	55-64 years	703
Alabama	01	1983	Other	Female	65-74 years	435
Alabama	01	1983	Other	Female	75-84 years	196
Alabama	01	1983	Other	Male	< 1 year	170
Alabama	01	1983	Other	Male	5-9 years	1085
Alabama	01	1983	Other	Male	25-34 years	2314
Alabama	01	1983	Other	Male	35-44 years	1631
Alabama	01	1983	Other	Male	45-54 years	949
Alabama	01	1983	Other	Male	55-64 years	506
Alabama	01	1983	Other	Male	65-74 years	279
Alabama	01	1983	Other	Male	75-84 years	106
Alabama	01	1983	Other	Male	85+ years	26
Alabama	01	1983	White	Female	< 1 year	18736
Alabama	01	1983	White	Female	1-4 years	77533
Alabama	01	1983	White	Female	5-9 years	93898
Alabama	01	1983	White	Female	10-14 years	106273
Alabama	01	1983	White	Female	15-19 years	113552
Alabama	01	1983	White	Female	20-24 years	130830
Alabama	01	1983	White	Female	25-34 years	233667
Alabama	01	1983	White	Female	35-44 years	189704
Alabama	01	1983	White	Female	45-54 years	155580
Alabama	01	1983	White	Female	55-64 years	156794
Alabama	01	1983	White	Female	65-74 years	125943
Alabama	01	1983	White	Female	75-84 years	70190
Alabama	01	1983	White	Female	85+ years	20775
Alabama	01	1983	White	Male	< 1 year	19799
Alabama	01	1983	White	Male	1-4 years	81358
Alabama	01	1983	White	Male	5-9 years	99522
Alabama	01	1983	White	Male	10-14 years	112740
Alabama	01	1983	White	Male	15-19 years	118704
Alabama	01	1983	White	Male	20-24 years	133336
Alabama	01	1983	White	Male	25-34 years	235673
Alabama	01	1983	White	Male	35-44 years	185438
Alabama	01	1983	White	Male	45-54 years	148107
Alabama	01	1983	White	Male	55-64 years	137039
Alabama	01	1983	White	Male	65-74 years	93732
Alabama	01	1983	White	Male	75-84 years	39398
Alabama	01	1983	White	Male	85+ years	7825
Alabama	01	1984	Black	Female	< 1 year	10178
Alabama	01	1984	Black	Female	1-4 years	37250
Alabama	01	1984	Black	Female	5-9 years	46913
Alabama	01	1984	Black	Female	10-14 years	49946
Alabama	01	1984	Black	Female	15-19 years	52555
Alabama	01	1984	Black	Female	20-24 years	53007
Alabama	01	1984	Black	Female	25-34 years	84804
Alabama	01	1984	Black	Female	35-44 years	54733
Alabama	01	1984	Black	Female	45-54 years	43850
Alabama	01	1984	Black	Female	55-64 years	41962
Alabama	01	1984	Black	Female	65-74 years	37291
Alabama	01	1984	Black	Female	75-84 years	21104
Alabama	01	1984	Black	Female	85+ years	6701
Alabama	01	1984	Black	Male	< 1 year	10262
Alabama	01	1984	Black	Male	1-4 years	37779
Alabama	01	1984	Black	Male	5-9 years	47954
Alabama	01	1984	Black	Male	10-14 years	50843
Alabama	01	1984	Black	Male	15-19 years	51232
Alabama	01	1984	Black	Male	20-24 years	45709
Alabama	01	1984	Black	Male	25-34 years	71573
Alabama	01	1984	Black	Male	35-44 years	44113
Alabama	01	1984	Black	Male	45-54 years	33086
Alabama	01	1984	Black	Male	55-64 years	30732
Alabama	01	1984	Black	Male	65-74 years	25744
Alabama	01	1984	Black	Male	75-84 years	13168
Alabama	01	1984	Black	Male	85+ years	3189
Alabama	01	1984	Other	Female	< 1 year	152
Alabama	01	1984	Other	Female	15-19 years	1058
Alabama	01	1984	Other	Female	35-44 years	2279
Alabama	01	1984	Other	Female	45-54 years	1332
Alabama	01	1984	Other	Female	55-64 years	769
Alabama	01	1984	Other	Male	< 1 year	189
Alabama	01	1984	Other	Male	10-14 years	1295
Alabama	01	1984	Other	Male	35-44 years	1794
Alabama	01	1984	Other	Male	45-54 years	1048
Alabama	01	1984	Other	Male	55-64 years	553
Alabama	01	1984	Other	Male	65-74 years	296
Alabama	01	1984	White	Female	< 1 year	18568
Alabama	01	1984	White	Female	1-4 years	76949
Alabama	01	1984	White	Female	5-9 years	93784
Alabama	01	1984	White	Female	10-14 years	103884
Alabama	01	1984	White	Female	15-19 years	110617
Alabama	01	1984	White	Female	20-24 years	130017
Alabama	01	1984	White	Female	25-34 years	235881
Alabama	01	1984	White	Female	35-44 years	195419
Alabama	01	1984	White	Female	45-54 years	156276
Alabama	01	1984	White	Female	55-64 years	157451
Alabama	01	1984	White	Female	65-74 years	127367
Alabama	01	1984	White	Female	75-84 years	73241
Alabama	01	1984	White	Female	85+ years	21412
Alabama	01	1984	White	Male	< 1 year	19868
Alabama	01	1984	White	Male	1-4 years	80917
Alabama	01	1984	White	Male	5-9 years	99474
Alabama	01	1984	White	Male	10-14 years	110163
Alabama	01	1984	White	Male	15-19 years	115565
Alabama	01	1984	White	Male	20-24 years	132727
Alabama	01	1984	White	Male	25-34 years	238480
Alabama	01	1984	White	Male	35-44 years	191252
Alabama	01	1984	White	Male	45-54 years	148984
Alabama	01	1984	White	Male	55-64 years	138045
Alabama	01	1984	White	Male	65-74 years	95211
Alabama	01	1984	White	Male	75-84 years	40852
Alabama	01	1984	White	Male	85+ years	8140
Alabama	01	1985	Black	Female	< 1 year	9927
Alabama	01	1985	Black	Female	1-4 years	36451
Alabama	01	1985	Black	Female	5-9 years	47600
Alabama	01	1985	Black	Female	10-14 years	49598
Alabama	01	1985	Black	Female	15-19 years	51326
Alabama	01	1985	Black	Female	20-24 years	52267
Alabama	01	1985	Black	Female	25-34 years	86576
Alabama	01	1985	Black	Female	35-44 years	57449
Alabama	01	1985	Black	Female	45-54 years	43826
Alabama	01	1985	Black	Female	55-64 years	41692
Alabama	01	1985	Black	Female	65-74 years	36969
Alabama	01	1985	Black	Female	75-84 years	21609
Alabama	01	1985	Black	Female	85+ years	6807
Alabama	01	1985	Black	Male	< 1 year	10188
Alabama	01	1985	Black	Male	1-4 years	37073
Alabama	01	1985	Black	Male	5-9 years	48580
Alabama	01	1985	Black	Male	10-14 years	50501
Alabama	01	1985	Black	Male	15-19 years	50144
Alabama	01	1985	Black	Male	20-24 years	45057
Alabama	01	1985	Black	Male	25-34 years	72522
Alabama	01	1985	Black	Male	35-44 years	46516
Alabama	01	1985	Black	Male	45-54 years	33295
Alabama	01	1985	Black	Male	55-64 years	30325
Alabama	01	1985	Black	Male	65-74 years	25281
Alabama	01	1985	Black	Male	75-84 years	13324
Alabama	01	1985	Black	Male	85+ years	3209
Alabama	01	1985	Other	Female	< 1 year	214
Alabama	01	1985	Other	Female	1-4 years	924
Alabama	01	1985	Other	Female	5-9 years	1231
Alabama	01	1985	Other	Female	45-54 years	1429
Alabama	01	1985	Other	Female	55-64 years	841
Alabama	01	1985	Other	Female	65-74 years	460
Alabama	01	1985	Other	Female	75-84 years	217
Alabama	01	1985	Other	Male	< 1 year	193
Alabama	01	1985	Other	Male	10-14 years	1393
Alabama	01	1985	Other	Male	35-44 years	1970
Alabama	01	1985	Other	Male	45-54 years	1175
Alabama	01	1985	Other	Male	65-74 years	318
Alabama	01	1985	Other	Male	75-84 years	127
Alabama	01	1985	Other	Male	85+ years	24
Alabama	01	1985	White	Female	< 1 year	19124
Alabama	01	1985	White	Female	1-4 years	76602
Alabama	01	1985	White	Female	5-9 years	94439
Alabama	01	1985	White	Female	10-14 years	101087
Alabama	01	1985	White	Female	15-19 years	109550
Alabama	01	1985	White	Female	20-24 years	128319
Alabama	01	1985	White	Female	25-34 years	239114
Alabama	01	1985	White	Female	35-44 years	200545
Alabama	01	1985	White	Female	45-54 years	157274
Alabama	01	1985	White	Female	55-64 years	157496
Alabama	01	1985	White	Female	65-74 years	128965
Alabama	01	1985	White	Female	75-84 years	76053
Alabama	01	1985	White	Female	85+ years	22128
Alabama	01	1985	White	Male	< 1 year	20090
Alabama	01	1985	White	Male	1-4 years	80741
Alabama	01	1985	White	Male	5-9 years	100160
Alabama	01	1985	White	Male	10-14 years	107187
Alabama	01	1985	White	Male	15-19 years	114482
Alabama	01	1985	White	Male	20-24 years	130486
Alabama	01	1985	White	Male	25-34 years	241650
Alabama	01	1985	White	Male	35-44 years	196435
Alabama	01	1985	White	Male	45-54 years	149890
Alabama	01	1985	White	Male	55-64 years	138619
Alabama	01	1985	White	Male	65-74 years	96672
Alabama	01	1985	White	Male	75-84 years	42240
Alabama	01	1985	White	Male	85+ years	8361
Alabama	01	1986	Black	Female	< 1 year	10068
Alabama	01	1986	Black	Female	1-4 years	36010
Alabama	01	1986	Black	Female	5-9 years	48222
Alabama	01	1986	Black	Female	10-14 years	48396
Alabama	01	1986	Black	Female	15-19 years	51316
Alabama	01	1986	Black	Female	20-24 years	50765
Alabama	01	1986	Black	Female	25-34 years	87948
Alabama	01	1986	Black	Female	35-44 years	60490
Alabama	01	1986	Black	Female	45-54 years	43640
Alabama	01	1986	Black	Female	55-64 years	41472
Alabama	01	1986	Black	Female	65-74 years	36616
Alabama	01	1986	Black	Female	75-84 years	22046
Alabama	01	1986	Black	Female	85+ years	7006
Alabama	01	1986	Black	Male	< 1 year	10179
Alabama	01	1986	Black	Male	1-4 years	36728
Alabama	01	1986	Black	Male	5-9 years	49194
Alabama	01	1986	Black	Male	10-14 years	49193
Alabama	01	1986	Black	Male	15-19 years	50250
Alabama	01	1986	Black	Male	20-24 years	43920
Alabama	01	1986	Black	Male	25-34 years	73390
Alabama	01	1986	Black	Male	35-44 years	49269
Alabama	01	1986	Black	Male	45-54 years	33327
Alabama	01	1986	Black	Male	55-64 years	29941
Alabama	01	1986	Black	Male	65-74 years	24842
Alabama	01	1986	Black	Male	75-84 years	13406
Alabama	01	1986	Black	Male	85+ years	3248
Alabama	01	1986	Other	Female	< 1 year	201
Alabama	01	1986	Other	Female	20-24 years	1371
Alabama	01	1986	Other	Female	25-34 years	3313
Alabama	01	1986	Other	Female	45-54 years	1529
Alabama	01	1986	Other	Female	55-64 years	918
Alabama	01	1986	Other	Female	65-74 years	476
Alabama	01	1986	Other	Female	75-84 years	226
Alabama	01	1986	Other	Female	85+ years	46
Alabama	01	1986	Other	Male	< 1 year	223
Alabama	01	1986	Other	Male	15-19 years	1423
Alabama	01	1986	Other	Male	20-24 years	1578
Alabama	01	1986	Other	Male	25-34 years	2865
Alabama	01	1986	Other	Male	55-64 years	654
Alabama	01	1986	Other	Male	65-74 years	336
Alabama	01	1986	Other	Male	75-84 years	130
Alabama	01	1986	Other	Male	85+ years	24
Alabama	01	1986	White	Female	< 1 year	18672
Alabama	01	1986	White	Female	1-4 years	76291
Alabama	01	1986	White	Female	5-9 years	95982
Alabama	01	1986	White	Female	10-14 years	97513
Alabama	01	1986	White	Female	15-19 years	110315
Alabama	01	1986	White	Female	20-24 years	123947
Alabama	01	1986	White	Female	25-34 years	241635
Alabama	01	1986	White	Female	35-44 years	205786
Alabama	01	1986	White	Female	45-54 years	158339
Alabama	01	1986	White	Female	55-64 years	157170
Alabama	01	1986	White	Female	65-74 years	130639
Alabama	01	1986	White	Female	75-84 years	78428
Alabama	01	1986	White	Female	85+ years	22881
Alabama	01	1986	White	Male	< 1 year	20122
Alabama	01	1986	White	Male	1-4 years	80576
Alabama	01	1986	White	Male	5-9 years	101825
Alabama	01	1986	White	Male	10-14 years	103284
Alabama	01	1986	White	Male	15-19 years	115393
Alabama	01	1986	White	Male	20-24 years	126359
Alabama	01	1986	White	Male	25-34 years	244534
Alabama	01	1986	White	Male	35-44 years	202114
Alabama	01	1986	White	Male	45-54 years	151137
Alabama	01	1986	White	Male	55-64 years	138590
Alabama	01	1986	White	Male	65-74 years	98342
Alabama	01	1986	White	Male	75-84 years	43489
Alabama	01	1986	White	Male	85+ years	8564
Alabama	01	1987	Black	Female	< 1 year	9901
Alabama	01	1987	Black	Female	1-4 years	35835
Alabama	01	1987	Black	Female	5-9 years	48396
Alabama	01	1987	Black	Female	10-14 years	48084
Alabama	01	1987	Black	Female	15-19 years	51667
Alabama	01	1987	Black	Female	20-24 years	48982
Alabama	01	1987	Black	Female	25-34 years	89435
Alabama	01	1987	Black	Female	35-44 years	63647
Alabama	01	1987	Black	Female	45-54 years	43698
Alabama	01	1987	Black	Female	55-64 years	41393
Alabama	01	1987	Black	Female	65-74 years	36312
Alabama	01	1987	Black	Female	75-84 years	22544
Alabama	01	1987	Black	Female	85+ years	7261
Alabama	01	1987	Black	Male	< 1 year	10276
Alabama	01	1987	Black	Male	1-4 years	36619
Alabama	01	1987	Black	Male	5-9 years	49299
Alabama	01	1987	Black	Male	10-14 years	48873
Alabama	01	1987	Black	Male	15-19 years	50664
Alabama	01	1987	Black	Male	20-24 years	42337
Alabama	01	1987	Black	Male	25-34 years	74291
Alabama	01	1987	Black	Male	35-44 years	52054
Alabama	01	1987	Black	Male	45-54 years	33646
Alabama	01	1987	Black	Male	55-64 years	29647
Alabama	01	1987	Black	Male	65-74 years	24518
Alabama	01	1987	Black	Male	75-84 years	13520
Alabama	01	1987	Black	Male	85+ years	3341
Alabama	01	1987	Other	Female	35-44 years	3047
Alabama	01	1987	Other	Female	45-54 years	1633
Alabama	01	1987	Other	Female	55-64 years	983
Alabama	01	1987	Other	Female	65-74 years	492
Alabama	01	1987	Other	Female	75-84 years	229
Alabama	01	1987	Other	Female	85+ years	46
Alabama	01	1987	Other	Male	< 1 year	229
Alabama	01	1987	Other	Male	20-24 years	1650
Alabama	01	1987	Other	Male	25-34 years	3055
Alabama	01	1987	Other	Male	45-54 years	1412
Alabama	01	1987	Other	Male	55-64 years	699
Alabama	01	1987	Other	Male	65-74 years	350
Alabama	01	1987	Other	Male	75-84 years	134
Alabama	01	1987	Other	Male	85+ years	24
Alabama	01	1987	White	Female	< 1 year	18986
Alabama	01	1987	White	Female	1-4 years	75874
Alabama	01	1987	White	Female	5-9 years	96377
Alabama	01	1987	White	Female	10-14 years	96056
Alabama	01	1987	White	Female	15-19 years	110370
Alabama	01	1987	White	Female	20-24 years	119354
Alabama	01	1987	White	Female	25-34 years	243167
Alabama	01	1987	White	Female	35-44 years	211486
